,date,application_date,application_received,application_evaluation,certificate,manager_review_data,interview_date,offer_date
196,2020-02-13,150.0,150.0,450.0,0.0,0.0,102.0,0.0
197,2020-02-14,150.0,150.0,150.0,450.0,409.0,205.0,0.0
198,2020-02-15,150.0,0.0,0.0,0.0,0.0,0.0,0.0
199,2020-02-16,150.0,0.0,0.0,0.0,0.0,0.0,0.0
200,2020-02-17,150.0,0.0,0.0,0.0,0.0,0.0,0.0
201,2020-02-18,150.0,600.0,450.0,150.0,136.0,204.0,246.0
202,2020-02-19,150.0,150.0,0.0,450.0,409.0,0.0,0.0
203,2020-02-20,150.0,150.0,1.0,0.0,0.0,69.0,163.0
204,2020-02-21,150.0,150.0,0.0,1.0,1.0,204.0,0.0
205,2020-02-22,150.0,0.0,0.0,0.0,0.0,0.0,0.0
206,2020-02-23,150.0,0.0,0.0,0.0,0.0,0.0,0.0
207,2020-02-24,150.0,450.0,749.0,0.0,0.0,205.0,218.0
208,2020-02-25,150.0,150.0,150.0,749.0,681.0,0.0,0.0
209,2020-02-26,150.0,150.0,150.0,150.0,136.0,0.0,164.0
210,2020-02-27,150.0,150.0,0.0,150.0,137.0,0.0,0.0
211,2020-02-28,150.0,150.0,0.0,0.0,0.0,68.0,0.0
212,2020-02-29,150.0,0.0,0.0,0.0,0.0,0.0,0.0
213,2020-03-01,150.0,0.0,0.0,0.0,0.0,0.0,0.0
214,2020-03-02,150.0,450.0,750.0,0.0,0.0,204.0,55.0
215,2020-03-03,150.0,150.0,150.0,750.0,682.0,0.0,0.0
216,2020-03-04,150.0,150.0,150.0,150.0,136.0,0.0,163.0
217,2020-03-05,150.0,150.0,0.0,150.0,136.0,0.0,0.0
218,2020-03-06,150.0,150.0,0.0,0.0,0.0,341.0,0.0
219,2020-03-07,150.0,0.0,0.0,0.0,0.0,0.0,0.0
220,2020-03-08,150.0,0.0,0.0,0.0,0.0,0.0,0.0
221,2020-03-09,150.0,450.0,676.0,0.0,0.0,137.0,273.0
222,2020-03-10,150.0,150.0,75.0,676.0,615.0,0.0,0.0
223,2020-03-11,150.0,150.0,150.0,75.0,68.0,0.0,109.0
224,2020-03-12,150.0,150.0,150.0,150.0,136.0,0.0,0.0
225,2020-03-13,150.0,150.0,0.0,150.0,138.0,341.0,0.0
226,2020-03-14,150.0,0.0,0.0,0.0,0.0,0.0,0.0
227,2020-03-15,150.0,0.0,0.0,0.0,0.0,0.0,0.0
228,2020-03-16,150.0,300.0,600.0,0.0,0.0,136.0,273.0
229,2020-03-17,150.0,150.0,150.0,600.0,545.0,0.0,0.0
230,2020-03-18,150.0,150.0,150.0,0.0,0.0,0.0,107.0
231,2020-03-19,150.0,150.0,150.0,0.0,0.0,0.0,0.0
232,2020-03-20,150.0,150.0,0.0,0.0,0.0,307.0,0.0
233,2020-03-21,150.0,0.0,0.0,0.0,0.0,0.0,0.0
234,2020-03-22,150.0,0.0,0.0,0.0,0.0,0.0,0.0
235,2020-03-23,150.0,450.0,600.0,0.0,0.0,172.0,0.0
236,2020-03-24,150.0,150.0,150.0,0.0,0.0,0.0,0.0
237,2020-03-25,150.0,150.0,150.0,0.0,0.0,0.0,0.0
238,2020-03-26,150.0,150.0,150.0,0.0,0.0,0.0,0.0
239,2020-03-27,150.0,150.0,0.0,0.0,0.0,0.0,0.0
240,2020-03-28,150.0,0.0,0.0,0.0,0.0,0.0,0.0
241,2020-03-29,150.0,0.0,0.0,0.0,0.0,0.0,0.0
242,2020-03-30,150.0,450.0,300.0,300.0,273.0,0.0,0.0
243,2020-03-31,150.0,150.0,0.0,150.0,136.0,0.0,0.0
244,2020-04-01,150.0,150.0,0.0,0.0,0.0,0.0,0.0
245,2020-04-02,150.0,150.0,0.0,0.0,0.0,0.0,0.0
246,2020-04-03,150.0,150.0,0.0,0.0,0.0,0.0,0.0
247,2020-04-04,150.0,0.0,0.0,0.0,0.0,0.0,0.0
248,2020-04-05,150.0,0.0,0.0,0.0,0.0,0.0,0.0
249,2020-04-06,150.0,450.0,300.0,900.0,818.0,0.0,307.0
250,2020-04-07,150.0,150.0,150.0,150.0,137.0,0.0,0.0
251,2020-04-08,150.0,150.0,150.0,0.0,0.0,0.0,171.0
252,2020-04-09,150.0,150.0,0.0,0.0,0.0,273.0,0.0
253,2020-04-10,150.0,150.0,0.0,0.0,0.0,0.0,0.0
254,2020-04-11,150.0,0.0,0.0,0.0,0.0,0.0,0.0
255,2020-04-12,150.0,0.0,0.0,0.0,0.0,0.0,0.0
256,2020-04-13,150.0,450.0,750.0,300.0,272.0,0.0,0.0
257,2020-04-14,150.0,150.0,150.0,0.0,0.0,0.0,0.0
258,2020-04-15,150.0,150.0,150.0,0.0,0.0,0.0,0.0
259,2020-04-16,150.0,150.0,0.0,0.0,0.0,0.0,0.0
260,2020-04-17,150.0,150.0,0.0,0.0,0.0,0.0,0.0
261,2020-04-18,150.0,0.0,0.0,0.0,0.0,0.0,0.0
262,2020-04-19,150.0,0.0,0.0,0.0,0.0,0.0,0.0
263,2020-04-20,150.0,450.0,599.0,600.0,546.0,0.0,0.0
264,2020-04-21,150.0,150.0,150.0,0.0,0.0,0.0,0.0
265,2020-04-22,150.0,150.0,150.0,0.0,0.0,136.0,0.0
266,2020-04-23,150.0,150.0,150.0,0.0,0.0,68.0,0.0
267,2020-04-24,150.0,150.0,0.0,0.0,0.0,0.0,0.0
268,2020-04-25,150.0,0.0,0.0,0.0,0.0,0.0,0.0
269,2020-04-26,150.0,0.0,0.0,0.0,0.0,0.0,0.0
270,2020-04-27,150.0,450.0,600.0,1050.0,954.0,0.0,0.0
271,2020-04-28,150.0,150.0,150.0,0.0,0.0,0.0,0.0
272,2020-04-29,0.0,150.0,150.0,0.0,0.0,409.0,0.0
273,2020-04-30,150.0,150.0,150.0,0.0,0.0,69.0,0.0
274,2020-05-01,0.0,150.0,0.0,0.0,0.0,0.0,0.0
275,2020-05-02,0.0,150.0,0.0,599.0,545.0,0.0,0.0
276,2020-05-03,0.0,150.0,227.0,150.0,136.0,0.0,0.0
277,2020-05-04,0.0,150.0,0.0,150.0,137.0,0.0,0.0
278,2020-05-05,0.0,150.0,223.0,150.0,136.0,0.0,0.0
279,2020-05-06,0.0,150.0,150.0,0.0,0.0,136.0,0.0
280,2020-05-07,0.0,150.0,150.0,0.0,0.0,0.0,0.0
